Unnamed: 0,Logo,channel_name,watch_time_mins,stream_time_mins,peak_viewers,avg_viewers,followers,is_partnered,is_mature,language,URL,page,rank_in_page,global_rank,watch_time_hours,stream_time_hours,avg_watch_per_stream_hour,channel_clean
1,https://static-cdn.jtvnw.net/jtv_user_pictures/3cdae7df-600c-4833-8dfe-8d2abc5a3b25-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,Domingo,148287780,2220,253936,66796,1953343,True,False,French,https://www.twitch.tv/domingo,1,1,1,2471463.0,37.0,66796.2972972973,domingo
2,https://static-cdn.jtvnw.net/jtv_user_pictures/7474d9d8-ab27-46c8-95f4-0c71b1878c78-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,AntoineDaniel,87586800,2310,87263,37916,1093801,True,True,French,https://www.twitch.tv/antoinedaniel,1,2,2,1459780.0,38.5,37916.36363636364,antoinedaniel
3,https://static-cdn.jtvnw.net/jtv_user_pictures/68296fe2-cee7-42dd-b241-6535084df12a-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,Joueur_du_Grenier,56052990,1770,107832,31668,1058366,True,False,French,https://www.twitch.tv/joueur_du_grenier,1,3,3,934216.5,29.5,31668.35593220339,joueur_du_grenier
4,https://static-cdn.jtvnw.net/jtv_user_pictures/ea4b608a-2f21-432a-afca-03da7920a8a6-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,byilhann,56047800,3315,52141,16907,1331636,True,False,French,https://www.twitch.tv/byilhann,1,4,4,934130.0,55.25,16907.33031674208,byilhann
5,https://static-cdn.jtvnw.net/jtv_user_pictures/599b546a-c27f-4684-93ff-5eeecd01fb2b-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,ZeratoR,55433415,2385,132082,23243,1628114,True,False,French,https://www.twitch.tv/zerator,1,5,5,923890.25,39.75,23242.522012578615,zerator
6,https://static-cdn.jtvnw.net/jtv_user_pictures/4eecaab8-4de3-4bcc-b2b7-f3a03e8273a8-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,Etoiles,51150510,2505,140985,20419,1241259,True,False,French,https://www.twitch.tv/etoiles,1,6,6,852508.5,41.75,20419.36526946108,etoiles
7,https://static-cdn.jtvnw.net/jtv_user_pictures/64e280b4-d6a1-4819-922b-9d4f8c80a3c7-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,Mastu,49972965,1860,69973,26867,1350788,True,False,French,https://www.twitch.tv/mastu,1,7,7,832882.75,31.0,26867.18548387097,mastu
8,https://static-cdn.jtvnw.net/jtv_user_pictures/d72e4845-0556-4433-b3be-efcb1a34bb3a-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,Nico_la,46189215,3315,41718,13933,592130,True,False,French,https://www.twitch.tv/nico_la,1,8,8,769820.25,55.25,13933.398190045247,nico_la
9,https://static-cdn.jtvnw.net/jtv_user_pictures/f4f2a500-81aa-4dcc-924f-fa5e12dcd7c5-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,Joyca,36659430,2220,45540,16513,860507,True,False,French,https://www.twitch.tv/joyca,1,9,9,610990.5,37.0,16513.256756756757,joyca
10,https://static-cdn.jtvnw.net/jtv_user_pictures/032798ed-08fc-47c4-a8a0-d97d652a71aa-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,SylvainLyve,33902430,2115,39235,16030,345689,True,False,French,https://www.twitch.tv/sylvainlyve,1,10,10,565040.5,35.25,16029.517730496456,sylvainlyve
